Comment,Sentiment
Нужна помощь по заказу Звонки в коллцентр результаты не приносят,negative
стартерпак предпринимателя  топ,neutral
В итоге дозвонился сегодня Обещали привезти груз вечером При этом сказали что должен оплатить  р за срочную доставку Просто нет слов ,negative
Абсолютно ужасное отношение к клиенту Три недели я жду чтобы мне переделали счёт и вернули деньги Менеджеры не перезванивают Скотское отношение к клиенту Самая ужасная транспортная компания с которой я сталкивалась Больше к вам ни ногой всё друзья уже тоже разочаровались в вас,negative
Со мной так и не связались Когда я получу свой потерянный груз неизвестно Пришла смс о задержке доставки и опять в течении трех дней сообщим о результате Каждые три дня присылать будете Обрадовалась что мой груз нашелся Оказывается рано обрадовалась Доставлять его мне никто не собирается,negative
Заказ под номером   Груз принят на терминале в Нижнем Новгороде  г Мы были не согласны со стоимостью отправления позвонили  на горячую линию и сообщили об этом первый менеджер сказал что заявка зафиксирована и будет произведён контрольный замер груза Второй звонок был сделан  оператор сообщила что продублировала заявку и постараются быстрее сделать замер Третий звонок был  в процессе общения оператор сказала что контрольный замер делается только по письму До этого два предыдущих оператора не сказали об этом ни слова Мы написали письмо  оно было отправлено на почту Сегодня  два раза звонили никто содействие и помощь нам не оказывает отправление не замеряют повторно Груз лежит на терминале й день и не может доехать до получателя потому что ваши сотрудники не делают вообще ничего,negative
УЖАСНАЯ ТК подменили данные получателя во всех актах после того как я ЛИЧНО получила груз говорят этот человек предоставил свой паспорт  но паспорт предоставляла я теперь не могу подтвердить что я плательщик и составить претензию о порче груза,negative
Машина брошена на проезде закрыв выезд со стоянке Водителя не было  минут Дата    Машина урр Адрес территория промзоны Лифляндская ,negative
Уже больше пяти лет пользуемся услугами Деловых линий Ни разу не было проблемГода три назад решили попробовать ПЭК Груз ехал почти на неделю дольше чем было заявлено,positive
САМАЯ ОТСТОЙНАЯ КОМПАНИЯ  У вас все учатся как нельзя работать  Хоть за это спасибо,negative
Ребята пострадавшие от сервиса компании Пишите сразу сюда Марии Она по моему единственная кто может помочь Мне помогла Всем удачи и терпения,positive
В связи с запросом эксперта страховой компании АО Совкомбанк страхование Копцова Евгения Александровича на предоставление дополнительных фотографий разбитого груза  нами  июня был отправлено заявление на досмотр и фотовидео фиксацию битого груза Сегодня  июля фото мы так и не получили На наши неоднократные запросы получаем отписки что заявление в работе Считаем что нарушены все сроки обработки заявления и требуем в кротчайшие сроки предоставить фото битого груза,neutral
какой смешной пост,neutral
к офисному работнику добавила бы еще ручку которая всегда пишет,negative
логист оценил,Neutral
Когда я получу свой товар Принимая заявку о потерянном грузе обещали  рабочих дня Сегодня пришла смс о задержке доставки И уже  рабочих дня Перепутали быстро а проблему решать не спешите,negative
Почему на сайте изменился статус заказа на Груз выдан Груз выдан не полностью Основную часть груза потеряли,negative
Здорово,neutral
Отличные новости,positive
Здравствуйте Компания деловые линии абсолютно наплевательски относится к заказам и заказчикам Мало того что доставку на два дня задержали так ещё и привезли не комплект Оператор ничего толкового сказать не смогла кроме как записать бессмысленное обращение которое будет ещё сутки рассматриваться Это за оплаченный товар и доставку,negative
Отправляли вещи из Ярославля в Приморский край Все вовремя и коробки не помяты,positive
Проверяйте сохранность своих персональных данных так как они их без Вашего согласия собирают и потом печатают в накладных что они становятся достоянием х лиц,negative
Неделю нам говорят что перезвонят а не перезванивают менеджер который занимается нашей проблемой онлайн но на него перевести не можем звонки некоторые просто сбрасывают при переводе Вы может между собой уже както договоритесь и начнете решать проблему а не зарывать голову в песок,negative
Вы молодцы,positive
У меня с  июля  года хранится чужой груз   Какая компенсация мне полагается за длительное хранение чужого груза по вашей вине,negative
Деловые Л Добрый день А у вас работа есть в Адлере,neutral
Здравствуйте Пишу вам сюда возможно это на чтото повлияет Отправлял груз вашей компаний на склад Вайлдберриз в Электростали Вопервых отправка одного короба составила р в то время как другие компании отправляют его за р Вовторых пока проходила платежка через юр лицо слетели сроки поставки назначенные на самом маркетплейсе Я их с вами согласовал но вы все равно отправили водителя с моим коробом на Электросталь Звонил водитель и сообщает что поставку не принимают Ну конечно её не примут мы же ее перенесли Потом груз поехал обратно Это всё заняло примерно  недели За это время ситуация поменялась товар на Электросталь я доставил другой компанией другой короб и мне нужно что бы короб который лежит у вас оказался в Коледино Это сделать просто невозможно Потому что вам нужно в письменно виде предоставить письмо подтверждение и еще какието справки Было принято решение просто забрать у вас товар и забыть раз и навсегда вашу компанию Но не тут то было Что бы забрать у вас товар нужно письмо о перенаправлении Нужно подтверждения что получать буду не я а сотрудник склада нужно подтверждения что оплачивать будут при получении нужна справка о постановлении моего юр лица на учет в налоговой и еще куча всего Обо всём этом я узнал не сразу а после каждого отправленного письма  вы присылали дополнение что отправить не можете потому что чегото нет Я звонил к вам на горячую линию я отправлял вам письма отправлял вам справки Но мой товар до сих пор не отправили Московский терминал что бы сотрудники склада могли у вас забрать товар Это длится уже более месяца Целый месяц нет моего товара на складе Вайлдберриз изза чего я теряю деньги Каждый раз вы объясняете это какимито вашими внутренними регламентами Объясните мне почему меня должны волновать ваши внутренние регламенты Вы должны предоставить сервис решить вопрос И сами разбирайтесь со своими регламентами Очень вы тяжелые ребята я бы даже сказал неподъемные Даже врагу вас рекомендовать не буду,negative
Здравствуйте Вопрос по накладной  и Ип Рудик Александр Анатольевич го июня должны были забрать груз и доставить его на маркетплейс Яндекс маркет в Краснодар Мы подготовили все документы акт приёма передачи заявление о том что муж в работе не использует печать Приехал ваш сотрудник забирать товар Я отдала ему бумаги на что он сказал мне что ему это не нужно никакая макулатура Нужно чисто забрать груз Спорить не стали подумали что ему виднее В итоге разумеется груз на Яндекс маркете у вас без всех этих документов не приняли на что было предложено отправить их вашей внутренней почтой что муж и сделал По итогу документы забраковали тк мужа не было сказано что документы нужно отправлять без даты Третий раз чтото делать уже не хотелось выбрали другую компанию и попросили прислать груз назад Хотелось бы решить вопрос с каким то возмещением средств тк за пересылку тудаобратно было заплачено около  тысяч но товар не был доставлен по вине со стороны вашего сотрудника С нашей стороны все документы были предоставлены А по итогу получился пустой прогон,negative
Когда будет доставка груза ,neutral
Это какое то безобразие заказали  июня Сегодня  июля информации о заказе нету,negative
Первый раз столкнулись с вашей компанией Вы привезли нам другой груз,negative
На сайте специально нет вкладки отзывы клиентов чтобы там не увидели статистику  об услугах компании Во вконтакте к сожалению тоже нет отдельной кнопки для дизлайка  был привезен груз из двух разных мест один правильный другой ошибочный В тот же день создана заявка о потерянном грузе с пометкой срочно Неделю от сотрудников никакой информации дозвонилась с й попытки после  минутного ожидания в сумме Груз гдето найден но когда приедет в город неизвестно Ориентировочно доставка  дней На вопрос свяжется ли с нами когда груз придет ответили ну вы позвоните дней через  Сервис на высоте С учетом что у нас лежит чейто груз который тоже гдето ждут а если нам груз привезут только дай бог через  недели то этот груз вообще доставят через месяц Видимо лучше всех в компании работают юристы которые отбиваются от претензий,negative
Деловые линии НЕ ценят своих клиентов чтобы не писали оплаченные комментаторы Несколько дней пытаюсь получить внятное объяснение в отношении завышения тарифа и добавления дорогой не заказанной услуги Обещания что со мной свяжется компетентный руководитель сервиса не выполнены  ,negative
А я хочу выразить благодарность водителю и грузчику доставляющим груз в Рославль Груз доставили раньше чем было заявлено Обо всем заранее предупредили смс  сообщениями За час позвонил водитель оговорили детали  Отдельное спасибо за подъем груза в  кг на  этаж без лифта где на лестнице очень сложно развернуться Огромное Вам спасибо Номер машины РАХ,positive
 Ужасная компания Сегодня обещали доставку с  до   и в  прислали смсизвините по техническим причинам доставка отменяется,negative
Здравствуйте Сначала пришло сообщение что груз будет доставлен  Никто не приехал Вечером позвонил водитель сказал к  приедет на слдень Потом получила сообщение что по техническим причинам груз доставят  Опять тишина Далее назначили доставку на  на  Водитель с утра позвонил сказал доставки не будет тк груз утерян Позвонила менеджеру ответили что доставят сегодня В итоге тишина Позвонила сказали доставки не будет груз не нашли пишите претензию На сайте по заказу информация исчезла Накладная  заказ  Стоимость груза  тыс руб,Negative
Когда уже доставят заказ  То сначала габариты неправильно указали при приемке потом и вовсе потеряли груз Теперь вроде как перемерили но информацию в личном кабинете не скорректировали Операторы по телефону каждый день обещают что со мной сейчас свяжутся для согласования доставки но никто не звонит Посылка уже месяц валяется на тверском складе Что за бардак в тверском подразделении Решите вопрос уже Надоело каждый день звонить и подгонять вас,Negative
 недели не доставляют до адреса В понедельник пытались сделать смену получателя это лавочка уже  дня не может поменять  звоню обращений уже  в итоге НИХРЕНА  берут кучу денег а организация НОЛЬ,negative
Разочаровалась в компании полностью Оплачена доставка в точное время НО в связи с техническим сбоем как мне сообщили доставку назначают на время с  А после нескольких звонков и разговоров оказывается что теперь мне надо сначала оплатить прогон грузчиков дополнительно А потом может быть они мне эти деньги вернут И теперь где мой груз и как его получить и когда никто не знает Это вообще как С руководством соединить не могут проблему вощникшую по вине компанию решить не могут только деньги дополнительно могут проситьСамое интересное что на сайте ДЛ указано что прогонавтомобиль приезжает на адрес вхолостую так как клиент отсутствует или откащывается от адресной доставки Я же предупредила водителя что с  ехать не надо Но у них это все равно прогон Может мне тоже будут деньги платить если у меня только мысль появится кудалибо на работу пойтиВидимо придется писать жалобу в отдел по защите прав потребителей и прокуратуру,negative
А претензию из личного кабинета тоже не вдруг отправишьне видит он такой накладной и все,neutral
Если есть альтернатива пользуйтесь любой компанией только не этой Они теряют грузы тянут время врут своим клиентам Прошло  месяца с тех пор как они потеряли мой груз И даже когда он нашёлся весь побитый и перемешанный с чужими коробками они вот уже неделю не в состоянии его привести в порядок и выдать мне обратно,negative
Деловые линии вы не возвращаете деньги за двойную оплату доставки мурыжите  недели путаете данные в заявлении и не отвечаете в чате ватсапа И на сайте тоже не отправить жалобу,Negative
Скоро месяц будет как едет,neutral
А где никто не говорит,Neutral
развиваетесь молодцы,positive
Один ОП   огнетушитель порошковый  литра Вам не поможет потушить авто А вот совместно с ОУ   огнетушитель углекислотный  литра можно уже что то торпедо двс и потушить Не верте рекламе один ОП   ни о чём,Negative
Если есть альтернатива то пользуйтесь другой КомпаниейГ Тольятти Работники не компетентны Девушки которые оформляют банально не понимают для чего почту в заявке нужно указывать Приходиться тратить время на объяснения что это нужно для данных на водителя Они под это дело еще свой характер показываютВоспользовался услугой забора груза от Деловых линий  в итоге замерили неправильно Оплатил больше чем нужно В г Казань мне сделали заново замерСказали что отредактируют счет и остаток будет у меня на счету В итоге сегодня узнаю что они ничего не сделали  Чтото где то не указали и остаток не зачислился Но они видят  счета составили какую то заявку Сказали в понедельник решат вопрос ко всему многие селлеры уходят от них Оказывается есть уже доставка сама можно сказать придуманная продавцами Г Тольятти Альтернатива есть напишиА эти сотрудники из Г Тольятти А именно вот эти недовольные молодые женщины сидящие за окнами пускай теперь друг друга отправляют своей этой надменностью Вердикт такой что видимо Руководству Деловых Линий абсолютно Пой на обратную связь клиентов Потому что сотрудники у них не компетентны  ховоматы Им об этом все пишут а им все равноКакие с ними вопросы можно решать   ни какие,negative
Срочно была нужна запчасть на машину Нашла ее в ближайшем городе До Хабаровска от Сахалина  ЧАС лёту Магазин автозапчастей сработал на все пять Отправили в транспортную компанию в этот же день Когда открыла в деловых линиях свой заказ узнать прибытие чуть в обморок не упала Доставка  мес Операторы отправили заказ через Москву Через всю страну в одну сторону а потом обратно Хочется узнать об адекватности операторов отправляющих заказ Связаться ни с кем не возможно Только автоответчики Как ускорить заказ Мне через месяц не нужна запчать через месяц мне нужно уже уехать на этом авто для которой эта запчать идет Номер заказа ,negative
Спасибо за полезный пост,positive
Отвратительная компания не советую пользоваться ее услугами Уже целую неделю не могут перевесить груз Совершили ошибку никак не могут исправить Мое производство изза этого встало от менеджеров никакой информации  одни отбивки  обманули что приставили личного менеджера,negative
хорошая памятка сохранила,positive
хорошие новости,neutral
Здравствуйте хотим оформить перевозку из Смоленска в Мск почему не работает промокод,neutral
Не рекомендуем данную компанию для работы с маркетплейсами Заявка   товары забрали за  дня до поставки но в день поставки товаров на маркетплейс оператор ДЛ сообщил что они не смогут отвезти груз Отличный сервис,negative
Самая не клиентоориентированная транспортная компания Делают скидку на адресную доставку но она не проходит оплату списывают без скидкиДелаешь заявку срок рассмотрения которой  часов никто не перезванивает ни через  часов ни через  часов чтобы получить возврат нужно пройти все круги ада написать заявление подписать акт сверкидля чего это физлицу не понятноВ общем ужасная транспортная не рекомендую обращаться,negative
о удобненько,positive
это лайк,positive
Самая ужасная компания по доставке Всегда получал посылки заказы вовремя пока не познакомился с данной х Просто молчат ничего не делают я сам звоню им и они отмазываются каждый день по новой причине почему не привезли снова А воз и ныне там у них хотя уже сомневаюсь что у них Никому не советую связываться с так называемыми деловыми линиями Обходите стороной,Negative
ОТВРАТИТЕЛЬНОЕ ОТНОШЕНИЕ Было создано две заявки на поставку груза на маркетплейс СПБСПБ и СПБТВЕРЬ в итоге весь груз уехал в Тверь Ребят а вы вообще видите что творите На коробках маркировка с наименованием городом не смутилаУ вас вообще отдел горячей линии и поддержки в соцсетях умеют работать Уже несколько дней не могу добиться решения проблемы только кормят обещаниями что свяжутся Если вы не в состоянии выполнять услуги качественно лучше бы не брались НЕ РЕКОМЕНДУЮ деловые линии для работы с маркетплейсами,negative
Полностью поддерживаю предыдущих комментаторов Отношение к клиентам похоже на фразу просто будем игнорить и клиенту самому надоест Груз пришел замятый водитель не дал накладную и возможность распечатать и посмотреть а просто сел и уехал с фразой мы не за что не отвечаем мы просто перевозчики А вещь не дешевая фрезер для мягкого мороженного стоимостью к рублей Пытался дописаться на сайте накладная не найдена обратная связь не работает Так до сих пор с  июня мой вопрос и висит Не рекомендую категорически,negative
Ужасная компанияЗаказала доставку из Мытищ в ВоронежБыло грузовых местаОдин груз потерян и видимо уже не найдетсяй не могу получить по вине компании тк оплата грузчика не была со мной согласована и по факту с меня запросили т за то чтобы коробку вытащили из мащины и пронесли мЯ написала жалобу и теперь жду когдаже мне соизволят ответить,negative
Где указано что вы принимаете доверенность на сдачу груза ТОЛЬКО с вашего сайта Что за бредятина,negative
Три недели жду свой груз по телефону ноль реакции с начальством не связывают всем класть на мнение клиентов,negative
Добрый вечер Подскажи пожалуйста как воспользоваться вашими услугами магазин находится в Мариуполе у нас,neutral
ОТВРАТИТЕЛЬНОЕ ОТНОШЕНИЕ НИКОГДА БОЛЬШЕ НЕ БУДУ ЕЙ ПОЛЬЗОВАТЬСЯпри звонках по поводу доставки кормят завтраками  недели куда в итоге уехал товар не понятно,negative
Привезли разбитое зеркало и теперь неизвестно сколько ждать ответы и решение вопроса все молчат,negative
Добрый день лишили менеджера  звонишь на общую линию говорящая башка это просто ад по отправкам  заявлено нами деревянная обрешетка груз отправили без жу   заявлена деревянная обрешетка груз упаковали в паллетный борт С утра написала обращение и тишина Безобразие какое то,negative
много лет работаю с вами и все ок спасибо,positive
интересненько,neutral
удаленка уже  года,neutral
на удаленке как корона случилась по офису скучаю иногда,neutral
РЕШИТЕ ПРОБЛЕМУ С ЗАКАЗОМ   Доставка в одном городе Балашиха идет почти МЕСЯЦ Вы серьезно С учётом ваших косяков с потерей это получается почти два месяца  СРОЧНО РЕШИТЕ МОЙ ВОПРОС по обращению   ЭТО ПРОСТО ЖЖЕСТЬ Это последний раз когда я связываюсь с данной компанией,negative
нашла,neutral
Отдайте груз предназначенный для передовой Вы ведёте себя как пособники украинских террористов,negative
Требуем срочно разобраться с грузом для передовой пока не заработали себе прокурорскую проверку,negative
Вы два месяца держите мой груз на своём складе Ответьте в сообщения Сколько можно Вам уже Роспотребнадзор направил запрос Как так можно работать,negative
Груз пришёл на терминал Поехали получать Груз из двух коробок кровать для лежачего больного Одна коробка нашлась вторую кудато положили найти не могут Суббота начальства нет получить нужно срочно Как можно так работать Что делать,neutral
где расписание  вместо бессмысленных картинок просто напишите как работаете с  У меня груз приходит  по вашей инфо   где когда как забирать Почему эта информация нигде не отображается Почему нет тел поддержки или хотя бы живого чата,negative
Ужасная компания груз пришел весь залитый какимто маслом все коробки побитые естественно содержимое все испачкалось и поравнялось На вопрос почему так ответили что видели на сообщения горячей линии не отвечают,negative
 апреля я отправил груз с Тобольска до Тюмени для Озона ваша компания  раз ездила и смогла сдать только  коробки из   мая я запросил фото своих коробок не кто так мне их не предоставил  я написал заявление о перенаправлении груза обратно по адресу отправления и тут началась прям драма я каждый день звоню и мне каждый день говорят запрос в работе Когда будет решен вопрос,negative
Груз должен был получить  В итоге только смс  местонахождение груза неизвестно Операторы горячей линии дают противоречивую информацию Та часть треть что со слов операторов дошла до терминала к выдаче не выдаётся Сплошное игнорирование,negative
Отвратительный сервис При заказе пообещали что мой товар по поставке  уже завтра будет на маркетплейсе По факту  прошло уже  дня а товар до сих пор не доставлен При звонке менеджер сообщает что товар может быть поставлен только еще через  дня В итоге у меня штраф от Маркетплейса товар у Деловых линий Красавчики Хуже чем отвратительный сервис,negative
Из списка ничего,neutral
Выбраться с коллегами на пикник,neutral
У вас повысилась стоимость перевозки Забор для доставки на маркетплейсы тоже стал платным ,neutral
Опять самый печальный опыт перевозки грузов ТК Деловые линии ДЛ перепутали заказы при заборе и отправили перепутанные заказы в г Старый Оскол и Волгоград когда нужно было наоборот При этом мы сразу сообщили о том что они перепутали заказы С тех пор пятый день круговорот звонков в ДЛ Каждый раз они слышат об этом как первый раз Ничего не делают чтобы исправить ситуацию по обратной связи никто с нами не связался Никто не связался с клиентами которым перепутали заказ и взяли с них ОПЛАТУ ЗА УСЛУГИ ДЛ Ситуация ужасная Компании ДЛ абсолютно плевать на всех своих клиентов,negative
И второй заказ они забрали у нас  и до сих пор не довезли до терминала  потеряли И никто ничего не знает,negative
Мои планы на лето это таки выбить с вас чтоб вы выдали груз отправку которого мы оплатили еще  мая Только вот почему то нас заставляют платить повторно и говорят что мы ничего не оплачивали хотя есть кассовый чек об оплате оплачивали в офисе У нас теперь ни груза ни денег Классно работаете ребята ,negative
Почему вы не отвечаете по телефону и во всех мессенджерахЧто за сервис такой у вас,negative
Разыщите мой груз Я жду его уже  недели а то всё уточняете номера накладных и ничего не делаете За  недели можно было камеры наверное просмотреть уже,negative
Деловые Линии что то у вас все плохо становится и дорого первое выставили счет по экспедированию по городу полную сумму без скидки  второе у меня был отказ от страховки но ее везде  накладных добавили в счета С кем я могу решить эти вопросыКоллеги посоветуйте можно в личку какие ТК с хорошей ценой есть для поставки на маркетплейсы,negative
Позорное решение вопросов и доставка грузов Забрали вещи  должны были доставить по адресу  однако самостоятельно добавили услуги которые заказаны не были стоимость не пересчитывают вещи не отдают никто не может связаться горячая линия даёт отписки вещи просто пропали,negative
Уважаемые деловые линии верните бесплатный забор груза от адреса для доставки на маркетплейсы С вами работать становится дорого и невыгодно Так клиенты и разбегутся ,negative
Позорное отношение клиентам В боте был расчет доставки в итоге когда курьер ехал стоимость доставки выросла Я отказалась оплачивать так как заранее был расчет стоимости В итоге этот вопрос уже решается  недели Никто толком ничего не отвечает Предлагаю всем собраться и написать коллективную жалобу на данную тк так как смотрю что у многих их грузы не отдаются и вопросы не решаются,negative
июнь еще не закончился а я уже из этого списка практически все выполнил,neutral
 из списка,neutral
пока ничего еще из этого списка не выполнила,negative
зашел к вам и вкурсе всех новостей,neutral
Невозможно дозвониться По  минут не берете трубку,negative
навязывают страховку и не спрашивают и не принимают без неёр берут за ценность в ра сроки тоже р и не докажите когда вам должны привезтинакладная с новым сроком при получениипишу жалобу в Роспотребнадзор и прокуратуруухожу в другую ТК,negative
День добрый нашим предприятием была подана заявка на отправку  единиц груза из Ростова на Дону на г Минск Беларусь накладная на товар   и на сопровождающие документы     Из Смоленска в Минск прибыло только шесть мест груза седьмое место утеряно Нами подана заявка на возврат этих  мест груза в Ростов и вот уже вторую неделю нас кормят обещаниями что груз будет направлен на Ростов но до сих пор ни новых документов ни счета на переадресацию никто не выставил На каждый звонок на горячую линию в очередной раз выражается обеспокоенность и на этом все У нас же сорваны уже все сроки поставки нам хотелось бы понимать с чем связано такое безответственное отношение со стороны сотрудников Деловых линий Смоленска и когда же наконецто груз будет направлен в Ростов За ранее благодарны за продуктивный ответ,Negative
Не советую данную компаниюВодитель может на вас орать и напастьТак как набирают с улицыИ не отвечают на жалобы,negative
люди а кто нибудь видел договор принудительного страхования и с какой компанией заключенДеловые линии нас заставляют оплачивать страховку от своего разгильдяйства типа без страховки у вас могут украсть испортить или доставку сорватьотказаться от страховки можно только по телефону а как это потом доказыватьнет электронной почты официальнойя намерена решительно бороться с этим путем обращения во все государственные органы вплоть до Антимонопольной службы,neutral
